as_of,target_quarter,target_quarter_date,qoq_growth_forecast,qoq_actual,qoq_error,direction_correct,n_months_in_quarter,n_series_selected,target,first,release,v2,c2,asof,model,k,v3,v3_raw,v2_bc,combo,combo_raw,combo_bc2,h,bucket
2024-04-29,2024 Q1,2024-03-01,0.6452149815774222,0.1275,0.5177149815774222,True,3,17,2024Q1,0.1275,2024-06-05,0.6452149815774222,-0.011415722523591798,2024-04-29,0.4833,3,0.3053,0.4833,0.656630704101014,0.4752574907887111,0.5642574907887111,0.480965352050507,37,30-60d
2024-05-06,2024 Q1,2024-03-01,0.6970749229572831,0.1275,0.5695749229572831,True,3,17,2024Q1,0.1275,2024-06-05,0.6970749229572831,-0.011415722523591798,2024-05-06,0.4302,3,0.25220000000000004,0.4302,0.7084906454808749,0.4746374614786416,0.5636374614786416,0.4803453227404375,30,<30d
2024-05-13,2024 Q1,2024-03-01,0.7007124557868578,0.1275,0.5732124557868579,True,3,17,2024Q1,0.1275,2024-06-05,0.7007124557868578,-0.011415722523591798,2024-05-13,0.4896,3,0.3116,0.4896,0.7121281783104496,0.5061562278934288,0.5951562278934289,0.5118640891552249,23,<30d
2024-05-20,2024 Q1,2024-03-01,0.7008000358965443,0.1275,0.5733000358965443,True,3,17,2024Q1,0.1275,2024-06-05,0.7008000358965443,-0.011415722523591798,2024-05-20,0.4663,3,0.2883,0.4663,0.7122157584201361,0.49455001794827214,0.5835500179482721,0.500257879210068,16,<30d
2024-05-27,2024 Q1,2024-03-01,0.7008000358965443,0.1275,0.5733000358965443,True,3,17,2024Q1,0.1275,2024-06-05,0.7008000358965443,-0.011415722523591798,2024-05-27,0.484,3,0.306,0.484,0.7122157584201361,0.5034000179482722,0.5924000179482721,0.5091078792100681,9,<30d
2024-06-03,2024 Q2,2024-06-01,0.2575930065873659,0.2246,0.0329930065873659,True,2,17,2024Q2,0.2246,2024-09-04,0.2575930065873659,-0.011415722523591798,2024-06-03,0.4228,3,0.24480000000000002,0.4228,0.2690087291109577,0.2511965032936829,0.34019650329368295,0.2569043645554788,93,>90d
2024-06-10,2024 Q2,2024-06-01,0.2011799555119611,0.2246,-0.0234200444880388,True,2,17,2024Q2,0.2246,2024-09-04,0.2011799555119611,0.08603690387976422,2024-06-10,0.4168,3,0.21960000000000002,0.4168,0.11514305163219689,0.21038997775598056,0.3089899777559806,0.16737152581609846,86,60-90d
2024-06-17,2024 Q2,2024-06-01,0.4559824721154401,0.2246,0.2313824721154401,True,3,17,2024Q2,0.2246,2024-09-04,0.4559824721154401,0.08603690387976422,2024-06-17,0.4175,3,0.2203,0.4175,0.36994556823567587,0.33814123605772006,0.43674123605772003,0.29512278411783793,79,60-90d
2024-06-24,2024 Q2,2024-06-01,0.4559824721154401,0.2246,0.2313824721154401,True,3,17,2024Q2,0.2246,2024-09-04,0.4559824721154401,0.08603690387976422,2024-06-24,0.4007,3,0.20350000000000001,0.4007,0.36994556823567587,0.32974123605772004,0.42834123605772,0.2867227841178379,72,60-90d
2024-07-01,2024 Q2,2024-06-01,0.442047434643703,0.2246,0.217447434643703,True,3,17,2024Q2,0.2246,2024-09-04,0.442047434643703,0.08603690387976422,2024-07-01,0.3523,3,0.15510000000000002,0.3523,0.3560105307639388,0.2985737173218515,0.39717371732185147,0.2555552653819694,65,60-90d
2024-07-08,2024 Q2,2024-06-01,0.3962607740418443,0.2246,0.1716607740418443,True,3,17,2024Q2,0.2246,2024-09-04,0.3962607740418443,0.08603690387976422,2024-07-08,0.3643,3,0.16710000000000003,0.3643,0.3102238701620801,0.28168038702092213,0.38028038702092215,0.23866193508104006,58,30-60d
2024-07-15,2024 Q2,2024-06-01,0.5761719930379141,0.2246,0.3515719930379141,True,3,17,2024Q2,0.2246,2024-09-04,0.5761719930379141,0.08603690387976422,2024-07-15,0.3612,3,0.16400000000000003,0.3612,0.4901350891581499,0.37008599651895707,0.46868599651895704,0.32706754457907494,51,30-60d
2024-07-22,2024 Q2,2024-06-01,0.5762454204401553,0.2246,0.3516454204401552,True,3,17,2024Q2,0.2246,2024-09-04,0.5762454204401553,0.08603690387976422,2024-07-22,0.3692,3,0.172,0.3692,0.49020851656039105,0.3741227102200776,0.4727227102200776,0.3311042582801955,44,30-60d
2024-07-29,2024 Q2,2024-06-01,0.5762454204401553,0.2246,0.3516454204401552,True,3,17,2024Q2,0.2246,2024-09-04,0.5762454204401553,0.08603690387976422,2024-07-29,0.3124,3,0.11520000000000002,0.3124,0.49020851656039105,0.3457227102200776,0.44432271022007763,0.30270425828019554,37,30-60d
2024-08-05,2024 Q2,2024-06-01,0.6046028452631713,0.2246,0.3800028452631713,True,3,17,2024Q2,0.2246,2024-09-04,0.6046028452631713,0.08603690387976422,2024-08-05,0.4169,3,0.2197,0.4169,0.5185659413834071,0.41215142263158566,0.5107514226315857,0.36913297069170353,30,<30d
2024-08-12,2024 Q2,2024-06-01,0.60463228017242,0.2246,0.3800322801724199,True,3,17,2024Q2,0.2246,2024-09-04,0.60463228017242,0.08603690387976422,2024-08-12,0.3111,3,0.1139,0.3111,0.5185953762926557,0.35926614008621,0.45786614008620996,0.31624768814632787,23,<30d
2024-08-19,2024 Q2,2024-06-01,0.604285465603821,0.2246,0.379685465603821,True,3,17,2024Q2,0.2246,2024-09-04,0.604285465603821,0.08603690387976422,2024-08-19,0.3113,3,0.11410000000000003,0.3113,0.5182485617240568,0.35919273280191055,0.4577927328019105,0.31617428086202837,16,<30d
2024-08-26,2024 Q2,2024-06-01,0.604285465603821,0.2246,0.379685465603821,True,3,17,2024Q2,0.2246,2024-09-04,0.604285465603821,0.08603690387976422,2024-08-26,0.4429,3,0.24570000000000003,0.4429,0.5182485617240568,0.4249927328019105,0.5235927328019105,0.3819742808620284,9,<30d
2024-09-09,2024 Q3,2024-09-01,0.6501971424702451,0.3337,0.3164971424702451,True,2,17,2024Q3,0.3337,2024-12-04,0.6501971424702451,0.12798669841177232,2024-09-09,0.3762,3,0.18189999999999998,0.3762,0.5222104440584727,0.4160485712351225,0.5131985712351226,0.35205522202923634,86,60-90d
2024-09-16,2024 Q3,2024-09-01,0.6093614826461223,0.3337,0.2756614826461223,True,3,17,2024Q3,0.3337,2024-12-04,0.6093614826461223,0.12798669841177232,2024-09-16,0.3957,3,0.2014,0.3957,0.48137478423435,0.4053807413230612,0.5025307413230612,0.341387392117175,79,60-90d
2024-09-23,2024 Q3,2024-09-01,0.6093614826461223,0.3337,0.2756614826461223,True,3,17,2024Q3,0.3337,2024-12-04,0.6093614826461223,0.12798669841177232,2024-09-23,0.3331,3,0.1388,0.3331,0.48137478423435,0.3740807413230612,0.4712307413230612,0.310087392117175,72,60-90d
2024-09-30,2024 Q3,2024-09-01,0.6204122000048145,0.3337,0.2867122000048144,True,3,17,2024Q3,0.3337,2024-12-04,0.6204122000048145,0.12798669841177232,2024-09-30,0.3638,3,0.1695,0.3638,0.4924255015930421,0.3949561000024072,0.49210610000240723,0.33096275079652104,65,60-90d
2024-10-07,2024 Q3,2024-09-01,0.5572923747557421,0.3337,0.2235923747557421,True,3,17,2024Q3,0.3337,2024-12-04,0.5572923747557421,0.12798669841177232,2024-10-07,0.3534,3,0.1591,0.3534,0.42930567634396977,0.35819618737787107,0.455346187377871,0.2942028381719849,58,30-60d
