as_of,target_quarter,target_quarter_date,qoq_growth_forecast,qoq_actual,qoq_error,direction_correct,n_months_in_quarter,n_series_selected,next_target_quarter,next_target_quarter_date,qoq_growth_forecast_next,qoq_actual_next,n_months_in_next_quarter
2019-11-18,2019 Q3,2019-09-01,0.3833429580617742,0.439,-0.05565704193822579,TRUE,3,14,2019 Q4,2019-12-01,0.49599742184599643,0.5265,2
2019-11-25,2019 Q3,2019-09-01,0.3833429580617742,0.439,-0.05565704193822579,TRUE,3,14,2019 Q4,2019-12-01,0.49599742184599643,0.5265,2
2019-12-02,2019 Q4,2019-12-01,0.3719511506349209,0.5265,-0.15454884936507907,TRUE,2,14,NA,NA,NA,NA,NA
2019-12-09,2019 Q4,2019-12-01,0.3879304415678382,0.5265,-0.1385695584321618,TRUE,2,14,NA,NA,NA,NA,NA
2019-12-16,2019 Q4,2019-12-01,0.49763309858857463,0.5265,-0.02886690141142534,TRUE,3,14,NA,NA,NA,NA,NA
2019-12-23,2019 Q4,2019-12-01,0.49763309858857463,0.5265,-0.02886690141142534,TRUE,3,14,NA,NA,NA,NA,NA
2019-12-30,2019 Q4,2019-12-01,0.4754229830625424,0.5265,-0.05107701693745759,TRUE,3,14,NA,NA,NA,NA,NA
2020-01-06,2019 Q4,2019-12-01,0.5061411403709384,0.5265,-0.020358859629061588,TRUE,3,14,NA,NA,NA,NA,NA
2020-01-13,2019 Q4,2019-12-01,0.4837044140358105,0.5265,-0.042795585964189475,TRUE,3,14,NA,NA,NA,NA,NA
2020-01-20,2019 Q4,2019-12-01,0.5871113050435476,0.5265,0.060611305043547614,TRUE,3,14,2020 Q1,2020-03-01,0.7764333717259709,-0.3059,1
2020-01-27,2019 Q4,2019-12-01,0.5871113050435476,0.5265,0.060611305043547614,TRUE,3,14,2020 Q1,2020-03-01,0.7764333717259709,-0.3059,1
2020-02-03,2019 Q4,2019-12-01,0.5693818586041703,0.5265,0.042881858604170375,TRUE,3,14,2020 Q1,2020-03-01,0.7260416857812977,-0.3059,1
2020-02-10,2019 Q4,2019-12-01,0.56063430997411845,0.5265,0.03413430997411848,TRUE,3,14,2020 Q1,2020-03-01,0.6754656599848431,-0.3059,1
2020-02-17,2019 Q4,2019-12-01,0.5609393107064675,0.5265,0.03443931070646755,TRUE,3,14,2020 Q1,2020-03-01,0.5754196023299524,-0.3059,2
2020-02-24,2019 Q4,2019-12-01,0.5609393107064675,0.5265,0.03443931070646755,TRUE,3,14,2020 Q1,2020-03-01,0.5754196023299524,-0.3059,2
2020-03-02,2020 Q1,2020-03-01,0.5236931784052217,-0.3059,0.8295931784052217,FALSE,2,14,NA,NA,NA,NA,NA
2020-03-09,2020 Q1,2020-03-01,0.5273505475677573,-0.3059,0.8332505475677574,FALSE,2,14,NA,NA,NA,NA,NA
2020-06-01,2020 Q2,2020-06-01,0.5066978137126014,-6.9971,7.503797813712601,FALSE,2,14,NA,NA,NA,NA,NA
2020-06-08,2020 Q2,2020-06-01,-2.551435394225016,-6.9971,4.445664605774984,TRUE,2,14,NA,NA,NA,NA,NA
2020-08-31,2020 Q3,2020-09-01,2.349924087890576,3.3281,-0.9781759121094242,TRUE,2,14,NA,NA,NA,NA,NA
2020-09-07,2020 Q3,2020-09-01,2.9337156065765235,3.3281,-0.39438439342347653,TRUE,2,14,NA,NA,NA,NA,NA
2020-09-14,2020 Q3,2020-09-01,2.218243429320873,3.3281,-1.1098565706791272,TRUE,2,14,NA,NA,NA,NA,NA
2020-11-30,2020 Q4,2020-12-01,1.6814724509939378,3.1277,-1.446227549006062,TRUE,2,14,NA,NA,NA,NA,NA
2020-12-07,2020 Q4,2020-12-01,1.7689350303096056,3.1277,-1.3587649696903943,TRUE,2,14,NA,NA,NA,NA,NA
2020-12-14,2020 Q4,2020-12-01,1.7910443799212725,3.1277,-1.3366556200787274,TRUE,2,14,NA,NA,NA,NA,NA
2021-03-01,2021 Q1,2021-03-01,1.2509835270738696,1.7868,-0.5358164729261303,TRUE,2,14,NA,NA,NA,NA,NA
2021-03-08,2021 Q1,2021-03-01,1.1265467468307666,1.7868,-0.6602532531692333,TRUE,2,14,NA,NA,NA,NA,NA
2021-03-15,2021 Q1,2021-03-01,1.2439619226740377,1.7868,-0.5428380773259622,TRUE,2,14,NA,NA,NA,NA,NA
2021-05-31,2021 Q2,2021-06-01,1.04061949826975,0.6668,0.37381949826975014,TRUE,2,14,NA,NA,NA,NA,NA
2021-06-07,2021 Q2,2021-06-01,0.8329894958208476,0.6668,0.16618949582084763,TRUE,2,14,NA,NA,NA,NA,NA
2021-06-14,2021 Q2,2021-06-01,0.9678600183814863,0.6668,0.3010600183814863,TRUE,2,14,NA,NA,NA,NA,NA
